state,name,governor
AL,Alabama,Republican
AK,Alaska,Republican
AZ,Arizona,Republican
AR,Arkansas,Republican
CA,California,Democratic
CO,Colorado,Democratic
CT,Connecticut,Democratic
DE,Delaware,Democratic
DC,District of Columbia,Democratic
FL,Florida,Republican
GA,Georgia,Republican
HI,Hawaii,Democratic
ID,Idaho,Republican
IL,Illinois,Democratic
IN,Indiana,Republican
IA,Iowa,Republican
KS,Kansas,Democratic
KY,Kentucky,Democratic
LA,Louisiana,Democratic
ME,Maine,Democratic
MD,Maryland,Republican
MA,Massachusetts,Republican
MI,Michigan,Democratic
MN,Minnesota,Democratic
MS,Mississippi,Republican
MO,Missouri,Republican
MT,Montana,Democratic
NE,Nebraska,Republican
NV,Nevada,Democratic
NH,New Hampshire,Republican
NJ,New Jersey,Democratic
NM,New Mexico,Democratic
NY,New York,Democratic
NC,North Carolina,Democratic
ND,North Dakota,Republican
OH,Ohio,Republican
OK,Oklahoma,Republican
OR,Oregon,Democratic
PA,Pennsylvania,Democratic
RI,Rhode Island,Democratic
SC,South Carolina,Republican
SD,South Dakota,Republican
TN,Tennessee,Republican
TX,Texas,Republican
UT,Utah,Republican
VT,Vermont,Republican
VA,Virginia,Democratic
WA,Washington,Democratic
WV,West Virginia,Republican
WI,Wisconsin,Democratic
WY,Wyoming,Republican
